"subject","version","assignmentId","cond","question","question_ind","all_values","question_order","comp_check","comp_check_pass","comp_check_rt","comp_check2","comp_check_pass2","choice","scratch","rt","early1","early2","stamp","id"
"e192df7b040d475dc4798930f8c80f5b","cs_wg_mon_freq_v1_real1","333U7HK6I9G8YPBTKUHIGOPEHSEDJP","late","Third letter late",0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,"26",1,30273,0,1,"January","",21000,NA,NA,"2019-01-07 14:50:55",32863
"e192df7b040d475dc4798930f8c80f5b","cs_wg_mon_freq_v1_real1","333U7HK6I9G8YPBTKUHIGOPEHSEDJP","late","choice-set",2,"[]",2,"-1",-1,-1,NA,0,"{""April"":""0"",""August"":""1"",""December"":""0"",""September"":""1"",""June"":""1"",""January"":""0"",""October"":""1"",""May"":""1"",""March"":""1"",""February"":""1"",""July"":""0"",""November"":""1""}","{}",12145,NA,NA,"2019-01-07 14:52:08",32864
"dff85dacd199fb041321e6b900d547fd","cs_wg_mon_freq_v1_real1","3EF8EXOTT1WE6UVH41XNFMO5SVBJ15","late","Third letter late",0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,"26",1,38514,0,1,"March","",21000,NA,NA,"2019-01-07 14:52:29",32865
"8015d8dacefa10ac40db304b7fdac667","cs_wg_mon_freq_v1_real1","3TPZPLC3M0D628CUMIGQ0BPEZEV3PH","late","Third letter late",0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,"26",1,51482,0,1,"september","jul
sep",21000,NA,NA,"2019-01-07 14:53:04",32866
"9b09762b3f12a0eb9d9a9a392b171f62","cs_wg_mon_freq_v1_real1","3Z4GS9HPNVBZXL9HS8PZD6A94MC77K","late","Third letter late",0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,"15",0,21174,0,1,"may","",21000,NA,NA,"2019-01-07 14:53:36",32867
"dff85dacd199fb041321e6b900d547fd","cs_wg_mon_freq_v1_real1","3EF8EXOTT1WE6UVH41XNFMO5SVBJ15","late","choice-set",2,"[]",2,"-1",-1,-1,NA,0,"{""May"":""1"",""January"":""0"",""August"":""0"",""June"":""0"",""July"":""0"",""April"":""0"",""September"":""1"",""February"":""0"",""March"":""0"",""October"":""1"",""December"":""1"",""November"":""1""}","{}",19219,NA,NA,"2019-01-07 14:53:41",32868
"31e4ec4062d7f85a7bcef34a89398573","cs_wg_mon_freq_v1_real1","3B3WTRP3DB3WP3041T6OVBK7OWD29A","late","Third letter late",0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,"26",1,29798,0,1,"may","may",21000,NA,NA,"2019-01-07 14:53:56",32869
"9db07206d155ba1928e1031624af18a0","cs_wg_mon_freq_v1_real1","3N4BPTXIO8TPQBSXOA7JR3TFIH8UKE","late","Third letter late",0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,"26",1,40182,0,1,"october","december
november
mah
august
october
",21000,NA,NA,"2019-01-07 14:54:17",32870
"a52376d97cf39f0be1a6178716b82be9","cs_wg_mon_freq_v1_real1","33LK57MYLT640TZFZ6FTZHZ41T0ZSP","late","Third letter late",0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,"15",0,23498,15,0,"ready","ready",21000,NA,NA,"2019-01-07 14:54:22",32871
"2f1490f6ee4b4c457b2d26b7218a1a02","cs_wg_mon_freq_v1_real1","30LB5CDZNCB4ZKF3Q4W9PBTL61HZ02","late","Third letter late",0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,"26",1,34460,0,1,"","",21000,NA,NA,"2019-01-07 14:54:23",32872
"3724ea9a612262054ebd5b38d90a52a5","cs_wg_mon_freq_v1_real1","3X66WABAJWJ0PVJVJZQ362BMYN9G3R","late","Third letter late",0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,"0",0,8573,0,1,"book","",21000,NA,NA,"2019-01-07 14:54:33",32873
"9b09762b3f12a0eb9d9a9a392b171f62","cs_wg_mon_freq_v1_real1","3Z4GS9HPNVBZXL9HS8PZD6A94MC77K","late","choice-set",2,"[]",2,"-1",-1,-1,NA,0,"{""December"":""1"",""August"":""1"",""June"":""1"",""May"":""0"",""November"":""1"",""March"":""1"",""July"":""1"",""April"":""1"",""October"":""1"",""September"":""1"",""January"":""1"",""February"":""1""}","{}",28403,NA,NA,"2019-01-07 14:54:58",32874
