subject,cond,word,word_ind,s1_value,s2_value,stamp,id
e192df7b040d475dc4798930f8c80f5b,0,FEBRUARY,1,2,2,1/7/19 14:49,149303
e192df7b040d475dc4798930f8c80f5b,4,JANUARY,0,8,14,1/7/19 14:49,149304
e192df7b040d475dc4798930f8c80f5b,2,JUNE,5,8,14,1/7/19 14:49,149305
e192df7b040d475dc4798930f8c80f5b,0,APRIL,3,6,18,1/7/19 14:49,149306
e192df7b040d475dc4798930f8c80f5b,0,MARCH,2,4,18,1/7/19 14:49,149307
e192df7b040d475dc4798930f8c80f5b,0,MAY,4,14,25,1/7/19 14:49,149308
e192df7b040d475dc4798930f8c80f5b,0,OCTOBER,9,10,20,1/7/19 14:49,149309
e192df7b040d475dc4798930f8c80f5b,0,SEPTEMBER,8,12,16,1/7/19 14:49,149310
e192df7b040d475dc4798930f8c80f5b,3,DECEMBER,11,8,3,1/7/19 14:49,149311
e192df7b040d475dc4798930f8c80f5b,5,NOVEMBER,10,8,22,1/7/19 14:49,149312
e192df7b040d475dc4798930f8c80f5b,1,AUGUST,7,8,7,1/7/19 14:49,149313
e192df7b040d475dc4798930f8c80f5b,6,JULY,6,8,12,1/7/19 14:49,149314
dff85dacd199fb041321e6b900d547fd,1,APRIL,3,8,18,1/7/19 14:51,149317
dff85dacd199fb041321e6b900d547fd,3,JANUARY,0,8,14,1/7/19 14:51,149315
dff85dacd199fb041321e6b900d547fd,0,MAY,4,12,25,1/7/19 14:51,149316
dff85dacd199fb041321e6b900d547fd,5,MARCH,2,8,18,1/7/19 14:51,149318
dff85dacd199fb041321e6b900d547fd,0,FEBRUARY,1,4,2,1/7/19 14:51,149319
dff85dacd199fb041321e6b900d547fd,0,JUNE,5,6,14,1/7/19 14:51,149320
dff85dacd199fb041321e6b900d547fd,6,SEPTEMBER,8,8,16,1/7/19 14:51,149321
dff85dacd199fb041321e6b900d547fd,0,JULY,6,2,12,1/7/19 14:51,149322
dff85dacd199fb041321e6b900d547fd,0,OCTOBER,9,10,20,1/7/19 14:51,149323
dff85dacd199fb041321e6b900d547fd,4,AUGUST,7,8,7,1/7/19 14:51,149324
dff85dacd199fb041321e6b900d547fd,2,DECEMBER,11,8,3,1/7/19 14:51,149325
dff85dacd199fb041321e6b900d547fd,0,NOVEMBER,10,14,22,1/7/19 14:51,149326
8015d8dacefa10ac40db304b7fdac667,4,MARCH,2,8,18,1/7/19 14:51,149327
8015d8dacefa10ac40db304b7fdac667,0,JANUARY,0,2,14,1/7/19 14:51,149328
8015d8dacefa10ac40db304b7fdac667,0,FEBRUARY,1,10,2,1/7/19 14:51,149329
8015d8dacefa10ac40db304b7fdac667,0,APRIL,3,6,18,1/7/19 14:51,149330
8015d8dacefa10ac40db304b7fdac667,0,JUNE,5,12,14,1/7/19 14:51,149331
8015d8dacefa10ac40db304b7fdac667,0,MAY,4,4,25,1/7/19 14:51,149332
8015d8dacefa10ac40db304b7fdac667,2,SEPTEMBER,8,8,16,1/7/19 14:51,149333
8015d8dacefa10ac40db304b7fdac667,6,JULY,6,8,12,1/7/19 14:51,149334
8015d8dacefa10ac40db304b7fdac667,5,AUGUST,7,8,7,1/7/19 14:51,149335
8015d8dacefa10ac40db304b7fdac667,1,OCTOBER,9,8,20,1/7/19 14:51,149336
8015d8dacefa10ac40db304b7fdac667,0,DECEMBER,11,14,3,1/7/19 14:51,149337
8015d8dacefa10ac40db304b7fdac667,3,NOVEMBER,10,8,22,1/7/19 14:51,149338
9b09762b3f12a0eb9d9a9a392b171f62,4,JANUARY,0,8,14,1/7/19 14:52,149339
9b09762b3f12a0eb9d9a9a392b171f62,0,MARCH,2,14,18,1/7/19 14:52,149340
9b09762b3f12a0eb9d9a9a392b171f62,0,FEBRUARY,1,10,2,1/7/19 14:52,149341
9b09762b3f12a0eb9d9a9a392b171f62,0,MAY,4,12,25,1/7/19 14:52,149342
9b09762b3f12a0eb9d9a9a392b171f62,1,JUNE,5,8,14,1/7/19 14:52,149343
9b09762b3f12a0eb9d9a9a392b171f62,2,APRIL,3,8,18,1/7/19 14:52,149344
9b09762b3f12a0eb9d9a9a392b171f62,5,NOVEMBER,10,8,22,1/7/19 14:52,149345
9b09762b3f12a0eb9d9a9a392b171f62,0,DECEMBER,11,6,3,1/7/19 14:52,149346
9b09762b3f12a0eb9d9a9a392b171f62,3,SEPTEMBER,8,8,16,1/7/19 14:52,149347
9b09762b3f12a0eb9d9a9a392b171f62,0,OCTOBER,9,4,20,1/7/19 14:52,149348
9b09762b3f12a0eb9d9a9a392b171f62,0,AUGUST,7,2,7,1/7/19 14:52,149349
9b09762b3f12a0eb9d9a9a392b171f62,6,JULY,6,8,12,1/7/19 14:52,149350
9db07206d155ba1928e1031624af18a0,3,MAY,4,8,25,1/7/19 14:53,149351
9db07206d155ba1928e1031624af18a0,0,APRIL,3,6,18,1/7/19 14:53,149352
9db07206d155ba1928e1031624af18a0,0,JUNE,5,2,14,1/7/19 14:53,149353
9db07206d155ba1928e1031624af18a0,1,MARCH,2,8,18,1/7/19 14:53,149354
9db07206d155ba1928e1031624af18a0,4,FEBRUARY,1,8,2,1/7/19 14:53,149355
9db07206d155ba1928e1031624af18a0,6,JANUARY,0,8,14,1/7/19 14:53,149356
9db07206d155ba1928e1031624af18a0,2,AUGUST,7,8,7,1/7/19 14:53,149358
9db07206d155ba1928e1031624af18a0,0,SEPTEMBER,8,12,16,1/7/19 14:53,149357
9db07206d155ba1928e1031624af18a0,0,OCTOBER,9,14,20,1/7/19 14:53,149359
9db07206d155ba1928e1031624af18a0,5,NOVEMBER,10,8,22,1/7/19 14:53,149360
9db07206d155ba1928e1031624af18a0,0,JULY,6,4,12,1/7/19 14:53,149361
9db07206d155ba1928e1031624af18a0,0,DECEMBER,11,10,3,1/7/19 14:53,149362
2f1490f6ee4b4c457b2d26b7218a1a02,0,JANUARY,0,12,14,1/7/19 14:53,149363
