subject,cond,word,word_ind,s1_value,s2_value,stamp,id
2f1490f6ee4b4c457b2d26b7218a1a02,0,FEBRUARY,1,6,2,1/7/19 14:53,149364
2f1490f6ee4b4c457b2d26b7218a1a02,0,MARCH,2,2,18,1/7/19 14:53,149365
2f1490f6ee4b4c457b2d26b7218a1a02,0,APRIL,3,10,18,1/7/19 14:53,149366
2f1490f6ee4b4c457b2d26b7218a1a02,4,AUGUST,7,8,7,1/7/19 14:53,149367
2f1490f6ee4b4c457b2d26b7218a1a02,2,MAY,4,8,25,1/7/19 14:53,149368
2f1490f6ee4b4c457b2d26b7218a1a02,5,JULY,6,8,12,1/7/19 14:53,149369
2f1490f6ee4b4c457b2d26b7218a1a02,3,JUNE,5,8,14,1/7/19 14:53,149370
2f1490f6ee4b4c457b2d26b7218a1a02,1,SEPTEMBER,8,8,16,1/7/19 14:53,149371
2f1490f6ee4b4c457b2d26b7218a1a02,0,OCTOBER,9,14,20,1/7/19 14:53,149372
2f1490f6ee4b4c457b2d26b7218a1a02,0,NOVEMBER,10,4,22,1/7/19 14:53,149373
2f1490f6ee4b4c457b2d26b7218a1a02,6,DECEMBER,11,8,3,1/7/19 14:53,149374
a52376d97cf39f0be1a6178716b82be9,5,JANUARY,0,8,14,1/7/19 14:53,149376
a52376d97cf39f0be1a6178716b82be9,0,MAY,4,14,25,1/7/19 14:53,149375
a52376d97cf39f0be1a6178716b82be9,2,FEBRUARY,1,8,2,1/7/19 14:53,149377
a52376d97cf39f0be1a6178716b82be9,4,MARCH,2,8,18,1/7/19 14:53,149378
a52376d97cf39f0be1a6178716b82be9,3,APRIL,3,8,18,1/7/19 14:53,149379
a52376d97cf39f0be1a6178716b82be9,0,JUNE,5,12,14,1/7/19 14:53,149380
a52376d97cf39f0be1a6178716b82be9,0,JULY,6,4,12,1/7/19 14:53,149381
a52376d97cf39f0be1a6178716b82be9,0,AUGUST,7,6,7,1/7/19 14:53,149382
a52376d97cf39f0be1a6178716b82be9,0,DECEMBER,11,10,3,1/7/19 14:53,149383
a52376d97cf39f0be1a6178716b82be9,6,SEPTEMBER,8,8,16,1/7/19 14:53,149384
a52376d97cf39f0be1a6178716b82be9,0,NOVEMBER,10,2,22,1/7/19 14:53,149385
a52376d97cf39f0be1a6178716b82be9,1,OCTOBER,9,8,20,1/7/19 14:53,149386
3724ea9a612262054ebd5b38d90a52a5,0,JANUARY,0,6,14,1/7/19 14:53,149387
3724ea9a612262054ebd5b38d90a52a5,5,FEBRUARY,1,8,2,1/7/19 14:53,149388
3724ea9a612262054ebd5b38d90a52a5,1,JUNE,5,8,14,1/7/19 14:53,149389
3724ea9a612262054ebd5b38d90a52a5,0,MARCH,2,4,18,1/7/19 14:53,149390
3724ea9a612262054ebd5b38d90a52a5,6,APRIL,3,8,18,1/7/19 14:53,149391
3724ea9a612262054ebd5b38d90a52a5,4,MAY,4,8,25,1/7/19 14:53,149392
3724ea9a612262054ebd5b38d90a52a5,0,DECEMBER,11,14,3,1/7/19 14:53,149393
3724ea9a612262054ebd5b38d90a52a5,2,SEPTEMBER,8,8,16,1/7/19 14:53,149394
3724ea9a612262054ebd5b38d90a52a5,0,NOVEMBER,10,2,22,1/7/19 14:53,149395
3724ea9a612262054ebd5b38d90a52a5,0,OCTOBER,9,10,20,1/7/19 14:53,149396
3724ea9a612262054ebd5b38d90a52a5,3,AUGUST,7,8,7,1/7/19 14:53,149397
3724ea9a612262054ebd5b38d90a52a5,0,JULY,6,12,12,1/7/19 14:53,149398
b40450a1a3394a73564792a606739bbe,0,FEBRUARY,1,2,2,1/7/19 14:54,149399
b40450a1a3394a73564792a606739bbe,0,JANUARY,0,6,14,1/7/19 14:54,149400
b40450a1a3394a73564792a606739bbe,3,APRIL,3,8,18,1/7/19 14:54,149401
b40450a1a3394a73564792a606739bbe,5,MARCH,2,8,18,1/7/19 14:54,149402
b40450a1a3394a73564792a606739bbe,0,JUNE,5,12,14,1/7/19 14:54,149403
b40450a1a3394a73564792a606739bbe,0,MAY,4,14,25,1/7/19 14:54,149404
b40450a1a3394a73564792a606739bbe,4,SEPTEMBER,8,8,16,1/7/19 14:54,149405
b40450a1a3394a73564792a606739bbe,1,AUGUST,7,8,7,1/7/19 14:54,149406
b40450a1a3394a73564792a606739bbe,6,OCTOBER,9,8,20,1/7/19 14:54,149407
b40450a1a3394a73564792a606739bbe,0,JULY,6,4,12,1/7/19 14:54,149408
b40450a1a3394a73564792a606739bbe,0,NOVEMBER,10,10,22,1/7/19 14:54,149409
b40450a1a3394a73564792a606739bbe,2,DECEMBER,11,8,3,1/7/19 14:54,149410
10cd9a04436c98040d53f382a60cc92d,4,JANUARY,0,8,14,1/7/19 14:54,149411
10cd9a04436c98040d53f382a60cc92d,3,FEBRUARY,1,8,2,1/7/19 14:54,149412
10cd9a04436c98040d53f382a60cc92d,1,MARCH,2,8,18,1/7/19 14:54,149413
10cd9a04436c98040d53f382a60cc92d,0,APRIL,3,10,18,1/7/19 14:54,149414
10cd9a04436c98040d53f382a60cc92d,0,MAY,4,12,25,1/7/19 14:54,149415
10cd9a04436c98040d53f382a60cc92d,0,JUNE,5,4,14,1/7/19 14:54,149416
10cd9a04436c98040d53f382a60cc92d,2,JULY,6,8,12,1/7/19 14:54,149417
10cd9a04436c98040d53f382a60cc92d,0,AUGUST,7,2,7,1/7/19 14:54,149418
10cd9a04436c98040d53f382a60cc92d,0,SEPTEMBER,8,6,16,1/7/19 14:54,149419
10cd9a04436c98040d53f382a60cc92d,5,OCTOBER,9,8,20,1/7/19 14:54,149420
10cd9a04436c98040d53f382a60cc92d,0,NOVEMBER,10,14,22,1/7/19 14:54,149421
10cd9a04436c98040d53f382a60cc92d,6,DECEMBER,11,8,3,1/7/19 14:54,149422
88a8f34348d4fdaa4d1e3fa2031a6e11,0,JANUARY,0,2,14,1/7/19 14:54,149423
88a8f34348d4fdaa4d1e3fa2031a6e11,0,FEBRUARY,1,6,2,1/7/19 14:54,149424
88a8f34348d4fdaa4d1e3fa2031a6e11,0,MARCH,2,10,18,1/7/19 14:54,149425
88a8f34348d4fdaa4d1e3fa2031a6e11,0,APRIL,3,4,18,1/7/19 14:54,149426
88a8f34348d4fdaa4d1e3fa2031a6e11,6,MAY,4,8,25,1/7/19 14:54,149427
88a8f34348d4fdaa4d1e3fa2031a6e11,5,JUNE,5,8,14,1/7/19 14:54,149428
88a8f34348d4fdaa4d1e3fa2031a6e11,3,JULY,6,8,12,1/7/19 14:54,149429
88a8f34348d4fdaa4d1e3fa2031a6e11,4,SEPTEMBER,8,8,16,1/7/19 14:54,149430
88a8f34348d4fdaa4d1e3fa2031a6e11,0,AUGUST,7,12,7,1/7/19 14:54,149431
88a8f34348d4fdaa4d1e3fa2031a6e11,2,OCTOBER,9,8,20,1/7/19 14:54,149432
88a8f34348d4fdaa4d1e3fa2031a6e11,1,NOVEMBER,10,8,22,1/7/19 14:54,149433
88a8f34348d4fdaa4d1e3fa2031a6e11,0,DECEMBER,11,14,3,1/7/19 14:54,149434
7d3aa0b1785e7ab42dc3988994173612,4,FEBRUARY,1,8,2,1/7/19 14:54,149435
7d3aa0b1785e7ab42dc3988994173612,0,JANUARY,0,6,14,1/7/19 14:54,149436
7d3aa0b1785e7ab42dc3988994173612,2,MARCH,2,8,18,1/7/19 14:54,149437
7d3aa0b1785e7ab42dc3988994173612,3,MAY,4,8,25,1/7/19 14:54,149438
7d3aa0b1785e7ab42dc3988994173612,0,APRIL,3,4,18,1/7/19 14:54,149439
7d3aa0b1785e7ab42dc3988994173612,6,JULY,6,8,12,1/7/19 14:54,149440
7d3aa0b1785e7ab42dc3988994173612,0,AUGUST,7,10,7,1/7/19 14:54,149441
7d3aa0b1785e7ab42dc3988994173612,0,JUNE,5,12,14,1/7/19 14:54,149442
7d3aa0b1785e7ab42dc3988994173612,1,NOVEMBER,10,8,22,1/7/19 14:54,149443
7d3aa0b1785e7ab42dc3988994173612,0,SEPTEMBER,8,2,16,1/7/19 14:54,149444
7d3aa0b1785e7ab42dc3988994173612,0,OCTOBER,9,14,20,1/7/19 14:54,149445
7d3aa0b1785e7ab42dc3988994173612,5,DECEMBER,11,8,3,1/7/19 14:54,149446
98733b252e59f9b7aa0803909f2283d9,1,FEBRUARY,1,8,2,1/7/19 14:54,149447
98733b252e59f9b7aa0803909f2283d9,0,MARCH,2,6,18,1/7/19 14:54,149448
98733b252e59f9b7aa0803909f2283d9,0,MAY,4,4,25,1/7/19 14:54,149449
98733b252e59f9b7aa0803909f2283d9,0,APRIL,3,12,18,1/7/19 14:54,149450
98733b252e59f9b7aa0803909f2283d9,0,JANUARY,0,2,14,1/7/19 14:54,149451
98733b252e59f9b7aa0803909f2283d9,3,JUNE,5,8,14,1/7/19 14:54,149452
98733b252e59f9b7aa0803909f2283d9,6,AUGUST,7,8,7,1/7/19 14:54,149453
98733b252e59f9b7aa0803909f2283d9,2,JULY,6,8,12,1/7/19 14:54,149454
98733b252e59f9b7aa0803909f2283d9,5,SEPTEMBER,8,8,16,1/7/19 14:54,149455
98733b252e59f9b7aa0803909f2283d9,4,DECEMBER,11,8,3,1/7/19 14:54,149456
98733b252e59f9b7aa0803909f2283d9,0,OCTOBER,9,10,20,1/7/19 14:54,149457
98733b252e59f9b7aa0803909f2283d9,0,NOVEMBER,10,14,22,1/7/19 14:54,149458
0d584690ff941a3df84739b262ff26ef,2,APRIL,3,8,18,1/7/19 14:55,149459
0d584690ff941a3df84739b262ff26ef,0,FEBRUARY,1,10,2,1/7/19 14:55,149460
0d584690ff941a3df84739b262ff26ef,6,JANUARY,0,8,14,1/7/19 14:55,149461
0d584690ff941a3df84739b262ff26ef,1,MAY,4,8,25,1/7/19 14:55,149462
0d584690ff941a3df84739b262ff26ef,3,JUNE,5,8,14,1/7/19 14:55,149463
0d584690ff941a3df84739b262ff26ef,0,JULY,6,4,12,1/7/19 14:55,149464
0d584690ff941a3df84739b262ff26ef,5,AUGUST,7,8,7,1/7/19 14:55,149465
0d584690ff941a3df84739b262ff26ef,0,SEPTEMBER,8,14,16,1/7/19 14:55,149466
0d584690ff941a3df84739b262ff26ef,4,OCTOBER,9,8,20,1/7/19 14:55,149467
0d584690ff941a3df84739b262ff26ef,0,NOVEMBER,10,2,22,1/7/19 14:55,149468
0d584690ff941a3df84739b262ff26ef,0,DECEMBER,11,12,3,1/7/19 14:55,149469
0d584690ff941a3df84739b262ff26ef,0,MARCH,2,6,18,1/7/19 14:55,149470
1720be07194550c65daf863267bebe78,5,MAY,4,8,25,1/7/19 14:55,149471
1720be07194550c65daf863267bebe78,1,APRIL,3,8,18,1/7/19 14:55,149472
1720be07194550c65daf863267bebe78,0,FEBRUARY,1,4,2,1/7/19 14:55,149473
1720be07194550c65daf863267bebe78,2,JANUARY,0,8,14,1/7/19 14:55,149474
1720be07194550c65daf863267bebe78,4,MARCH,2,8,18,1/7/19 14:55,149475
1720be07194550c65daf863267bebe78,3,JUNE,5,8,14,1/7/19 14:55,149476
1720be07194550c65daf863267bebe78,6,OCTOBER,9,8,20,1/7/19 14:55,149477
1720be07194550c65daf863267bebe78,0,JULY,6,12,12,1/7/19 14:55,149478
1720be07194550c65daf863267bebe78,0,SEPTEMBER,8,2,16,1/7/19 14:55,149479
1720be07194550c65daf863267bebe78,0,AUGUST,7,10,7,1/7/19 14:55,149480
1720be07194550c65daf863267bebe78,0,DECEMBER,11,14,3,1/7/19 14:55,149481
1720be07194550c65daf863267bebe78,0,NOVEMBER,10,6,22,1/7/19 14:55,149482
b58c0040a0d2db026cd823f81da6c05d,0,FEBRUARY,1,14,2,1/7/19 14:55,149483
b58c0040a0d2db026cd823f81da6c05d,0,MARCH,2,6,18,1/7/19 14:55,149484
b58c0040a0d2db026cd823f81da6c05d,2,JANUARY,0,8,14,1/7/19 14:55,149485
b58c0040a0d2db026cd823f81da6c05d,5,MAY,4,8,25,1/7/19 14:55,149486
b58c0040a0d2db026cd823f81da6c05d,1,APRIL,3,8,18,1/7/19 14:55,149487
b58c0040a0d2db026cd823f81da6c05d,6,JUNE,5,8,14,1/7/19 14:55,149488
b58c0040a0d2db026cd823f81da6c05d,0,AUGUST,7,10,7,1/7/19 14:55,149489
b58c0040a0d2db026cd823f81da6c05d,0,JULY,6,12,12,1/7/19 14:55,149490
b58c0040a0d2db026cd823f81da6c05d,0,SEPTEMBER,8,4,16,1/7/19 14:55,149491
b58c0040a0d2db026cd823f81da6c05d,4,NOVEMBER,10,8,22,1/7/19 14:55,149492
b58c0040a0d2db026cd823f81da6c05d,3,OCTOBER,9,8,20,1/7/19 14:55,149493
b58c0040a0d2db026cd823f81da6c05d,0,DECEMBER,11,2,3,1/7/19 14:55,149494
a0415cfb430a81a956d08e1101d9da4f,4,MARCH,2,8,18,1/7/19 14:55,149495
a0415cfb430a81a956d08e1101d9da4f,0,APRIL,3,4,18,1/7/19 14:55,149496
a0415cfb430a81a956d08e1101d9da4f,6,FEBRUARY,1,8,2,1/7/19 14:55,149497
a0415cfb430a81a956d08e1101d9da4f,1,JUNE,5,8,14,1/7/19 14:55,149498
a0415cfb430a81a956d08e1101d9da4f,0,JANUARY,0,10,14,1/7/19 14:55,149499
a0415cfb430a81a956d08e1101d9da4f,2,MAY,4,8,25,1/7/19 14:55,149500
a0415cfb430a81a956d08e1101d9da4f,3,JULY,6,8,12,1/7/19 14:55,149501
a0415cfb430a81a956d08e1101d9da4f,5,AUGUST,7,8,7,1/7/19 14:55,149502
a0415cfb430a81a956d08e1101d9da4f,0,NOVEMBER,10,2,22,1/7/19 14:55,149503
a0415cfb430a81a956d08e1101d9da4f,0,OCTOBER,9,14,20,1/7/19 14:55,149504
a0415cfb430a81a956d08e1101d9da4f,0,SEPTEMBER,8,12,16,1/7/19 14:55,149505
a0415cfb430a81a956d08e1101d9da4f,0,DECEMBER,11,6,3,1/7/19 14:55,149506
399b2c8618f4416c8b3aecf638e9ed50,0,JANUARY,0,2,14,1/7/19 14:56,149507
399b2c8618f4416c8b3aecf638e9ed50,0,FEBRUARY,1,10,2,1/7/19 14:56,149508
399b2c8618f4416c8b3aecf638e9ed50,5,APRIL,3,8,18,1/7/19 14:56,149509
399b2c8618f4416c8b3aecf638e9ed50,3,MARCH,2,8,18,1/7/19 14:56,149510
399b2c8618f4416c8b3aecf638e9ed50,0,JUNE,5,4,14,1/7/19 14:56,149511
399b2c8618f4416c8b3aecf638e9ed50,2,MAY,4,8,25,1/7/19 14:56,149512
399b2c8618f4416c8b3aecf638e9ed50,4,JULY,6,8,12,1/7/19 14:56,149513
399b2c8618f4416c8b3aecf638e9ed50,1,SEPTEMBER,8,8,16,1/7/19 14:56,149514
399b2c8618f4416c8b3aecf638e9ed50,0,AUGUST,7,6,7,1/7/19 14:56,149515
399b2c8618f4416c8b3aecf638e9ed50,0,OCTOBER,9,14,20,1/7/19 14:56,149516
399b2c8618f4416c8b3aecf638e9ed50,0,NOVEMBER,10,12,22,1/7/19 14:56,149517
399b2c8618f4416c8b3aecf638e9ed50,6,DECEMBER,11,8,3,1/7/19 14:56,149518
d5896cd2a84ce9097f5de2ec8ae63293,2,MARCH,2,8,18,1/7/19 14:56,149520
d5896cd2a84ce9097f5de2ec8ae63293,4,FEBRUARY,1,8,2,1/7/19 14:56,149519
d5896cd2a84ce9097f5de2ec8ae63293,0,APRIL,3,6,18,1/7/19 14:56,149521
d5896cd2a84ce9097f5de2ec8ae63293,0,JANUARY,0,10,14,1/7/19 14:56,149522
d5896cd2a84ce9097f5de2ec8ae63293,5,MAY,4,8,25,1/7/19 14:56,149523
d5896cd2a84ce9097f5de2ec8ae63293,0,JUNE,5,4,14,1/7/19 14:56,149524
d5896cd2a84ce9097f5de2ec8ae63293,0,NOVEMBER,10,14,22,1/7/19 14:56,149525
d5896cd2a84ce9097f5de2ec8ae63293,6,SEPTEMBER,8,8,16,1/7/19 14:56,149526
d5896cd2a84ce9097f5de2ec8ae63293,3,OCTOBER,9,8,20,1/7/19 14:56,149527
d5896cd2a84ce9097f5de2ec8ae63293,0,AUGUST,7,2,7,1/7/19 14:56,149528
d5896cd2a84ce9097f5de2ec8ae63293,0,JULY,6,12,12,1/7/19 14:56,149529
d5896cd2a84ce9097f5de2ec8ae63293,1,DECEMBER,11,8,3,1/7/19 14:56,149530
2bcf71d919e1e21a75863fec16fb941f,3,FEBRUARY,1,8,2,1/7/19 14:56,149531
2bcf71d919e1e21a75863fec16fb941f,0,MARCH,2,12,18,1/7/19 14:56,149532
2bcf71d919e1e21a75863fec16fb941f,1,JANUARY,0,8,14,1/7/19 14:56,149533
2bcf71d919e1e21a75863fec16fb941f,0,APRIL,3,10,18,1/7/19 14:56,149534
2bcf71d919e1e21a75863fec16fb941f,0,JUNE,5,6,14,1/7/19 14:56,149535
2bcf71d919e1e21a75863fec16fb941f,0,MAY,4,14,25,1/7/19 14:56,149536
2bcf71d919e1e21a75863fec16fb941f,0,AUGUST,7,4,7,1/7/19 14:56,149537
2bcf71d919e1e21a75863fec16fb941f,5,SEPTEMBER,8,8,16,1/7/19 14:56,149538
2bcf71d919e1e21a75863fec16fb941f,4,JULY,6,8,12,1/7/19 14:56,149539
2bcf71d919e1e21a75863fec16fb941f,0,DECEMBER,11,2,3,1/7/19 14:56,149540
2bcf71d919e1e21a75863fec16fb941f,6,OCTOBER,9,8,20,1/7/19 14:56,149541
2bcf71d919e1e21a75863fec16fb941f,2,NOVEMBER,10,8,22,1/7/19 14:56,149542
cb686dc53c3723328ab97809bc411b70,6,MARCH,2,8,18,1/7/19 14:57,149543
cb686dc53c3723328ab97809bc411b70,0,APRIL,3,4,18,1/7/19 14:57,149544
cb686dc53c3723328ab97809bc411b70,3,MAY,4,8,25,1/7/19 14:57,149545
cb686dc53c3723328ab97809bc411b70,0,FEBRUARY,1,6,2,1/7/19 14:57,149546
cb686dc53c3723328ab97809bc411b70,0,JANUARY,0,12,14,1/7/19 14:57,149547
cb686dc53c3723328ab97809bc411b70,5,JUNE,5,8,14,1/7/19 14:57,149548
cb686dc53c3723328ab97809bc411b70,2,JULY,6,8,12,1/7/19 14:57,149549
cb686dc53c3723328ab97809bc411b70,0,AUGUST,7,14,7,1/7/19 14:57,149550
cb686dc53c3723328ab97809bc411b70,0,SEPTEMBER,8,2,16,1/7/19 14:57,149551
cb686dc53c3723328ab97809bc411b70,4,NOVEMBER,10,8,22,1/7/19 14:57,149552
cb686dc53c3723328ab97809bc411b70,0,OCTOBER,9,10,20,1/7/19 14:57,149553
cb686dc53c3723328ab97809bc411b70,1,DECEMBER,11,8,3,1/7/19 14:57,149554
cd01db61eb1cfb8c868feed3ad5ca47c,0,FEBRUARY,1,14,2,1/7/19 14:57,149555
cd01db61eb1cfb8c868feed3ad5ca47c,0,JANUARY,0,4,14,1/7/19 14:57,149556
cd01db61eb1cfb8c868feed3ad5ca47c,0,MARCH,2,10,18,1/7/19 14:57,149557
cd01db61eb1cfb8c868feed3ad5ca47c,6,APRIL,3,8,18,1/7/19 14:57,149558
cd01db61eb1cfb8c868feed3ad5ca47c,0,MAY,4,12,25,1/7/19 14:57,149559
cd01db61eb1cfb8c868feed3ad5ca47c,5,JUNE,5,8,14,1/7/19 14:57,149560
cd01db61eb1cfb8c868feed3ad5ca47c,1,JULY,6,8,12,1/7/19 14:57,149561
cd01db61eb1cfb8c868feed3ad5ca47c,3,NOVEMBER,10,8,22,1/7/19 14:57,149562
cd01db61eb1cfb8c868feed3ad5ca47c,0,AUGUST,7,6,7,1/7/19 14:57,149563
cd01db61eb1cfb8c868feed3ad5ca47c,0,SEPTEMBER,8,2,16,1/7/19 14:57,149564
cd01db61eb1cfb8c868feed3ad5ca47c,4,OCTOBER,9,8,20,1/7/19 14:57,149565
cd01db61eb1cfb8c868feed3ad5ca47c,2,DECEMBER,11,8,3,1/7/19 14:57,149566
a6e4b82698b90855cb9ef59bf0824f04,1,FEBRUARY,1,8,2,1/7/19 14:57,149567
a6e4b82698b90855cb9ef59bf0824f04,3,JANUARY,0,8,14,1/7/19 14:57,149568
a6e4b82698b90855cb9ef59bf0824f04,0,MARCH,2,4,18,1/7/19 14:57,149569
a6e4b82698b90855cb9ef59bf0824f04,0,APRIL,3,6,18,1/7/19 14:57,149570
a6e4b82698b90855cb9ef59bf0824f04,0,MAY,4,14,25,1/7/19 14:57,149571
a6e4b82698b90855cb9ef59bf0824f04,6,JUNE,5,8,14,1/7/19 14:57,149572
9b3ebc3ae31c9ff5b774d9e4408a7c8c,0,JANUARY,0,12,14,1/7/19 14:57,149573
9b3ebc3ae31c9ff5b774d9e4408a7c8c,0,MARCH,2,14,18,1/7/19 14:57,149574
9b3ebc3ae31c9ff5b774d9e4408a7c8c,4,FEBRUARY,1,8,2,1/7/19 14:57,149575
9b3ebc3ae31c9ff5b774d9e4408a7c8c,5,APRIL,3,8,18,1/7/19 14:57,149576
9b3ebc3ae31c9ff5b774d9e4408a7c8c,0,MAY,4,2,25,1/7/19 14:57,149577
9b3ebc3ae31c9ff5b774d9e4408a7c8c,0,JUNE,5,6,14,1/7/19 14:57,149578
9b3ebc3ae31c9ff5b774d9e4408a7c8c,3,SEPTEMBER,8,8,16,1/7/19 14:57,149579
9b3ebc3ae31c9ff5b774d9e4408a7c8c,2,AUGUST,7,8,7,1/7/19 14:57,149580
9b3ebc3ae31c9ff5b774d9e4408a7c8c,6,JULY,6,8,12,1/7/19 14:57,149581
9b3ebc3ae31c9ff5b774d9e4408a7c8c,0,OCTOBER,9,10,20,1/7/19 14:57,149582
9b3ebc3ae31c9ff5b774d9e4408a7c8c,0,NOVEMBER,10,4,22,1/7/19 14:57,149583
9b3ebc3ae31c9ff5b774d9e4408a7c8c,1,DECEMBER,11,8,3,1/7/19 14:57,149584
a6e4b82698b90855cb9ef59bf0824f04,0,OCTOBER,9,2,20,1/7/19 14:57,149585
