subject,word,word_ind,s1_value,s2_value,stamp,id
a3ab455cea0ee20591a6c44ba7d36101,DECEMBER,11,3,3,9/24/18 14:04,106401
a3ab455cea0ee20591a6c44ba7d36101,SEPTEMBER,8,5,16,9/24/18 14:04,106402
a3ab455cea0ee20591a6c44ba7d36101,OCTOBER,9,6,20,9/24/18 14:04,106403
b33dee287257d676152aa478280530e5,JANUARY,0,5,14,9/24/18 14:04,106405
b33dee287257d676152aa478280530e5,FEBRUARY,1,4,2,9/24/18 14:04,106404
b33dee287257d676152aa478280530e5,MAY,4,12,25,9/24/18 14:04,106406
b33dee287257d676152aa478280530e5,MARCH,2,2,18,9/24/18 14:04,106407
b33dee287257d676152aa478280530e5,APRIL,3,1,18,9/24/18 14:04,106408
b33dee287257d676152aa478280530e5,JUNE,5,7,14,9/24/18 14:04,106409
b33dee287257d676152aa478280530e5,JULY,6,10,12,9/24/18 14:04,106410
b33dee287257d676152aa478280530e5,AUGUST,7,8,7,9/24/18 14:04,106411
b33dee287257d676152aa478280530e5,SEPTEMBER,8,6,16,9/24/18 14:04,106412
b33dee287257d676152aa478280530e5,NOVEMBER,10,11,22,9/24/18 14:04,106413
b33dee287257d676152aa478280530e5,OCTOBER,9,3,20,9/24/18 14:04,106414
b33dee287257d676152aa478280530e5,DECEMBER,11,9,3,9/24/18 14:04,106415
acad415d1fb6a7739472eb63d869a0ec,FEBRUARY,1,9,2,9/24/18 14:04,106416
acad415d1fb6a7739472eb63d869a0ec,MARCH,2,2,18,9/24/18 14:04,106417
acad415d1fb6a7739472eb63d869a0ec,JANUARY,0,10,14,9/24/18 14:04,106418
acad415d1fb6a7739472eb63d869a0ec,MAY,4,11,25,9/24/18 14:04,106419
acad415d1fb6a7739472eb63d869a0ec,APRIL,3,8,18,9/24/18 14:04,106420
acad415d1fb6a7739472eb63d869a0ec,JUNE,5,1,14,9/24/18 14:04,106421
acad415d1fb6a7739472eb63d869a0ec,SEPTEMBER,8,12,16,9/24/18 14:04,106422
acad415d1fb6a7739472eb63d869a0ec,AUGUST,7,6,7,9/24/18 14:04,106423
acad415d1fb6a7739472eb63d869a0ec,OCTOBER,9,7,20,9/24/18 14:04,106424
acad415d1fb6a7739472eb63d869a0ec,JULY,6,3,12,9/24/18 14:04,106425
acad415d1fb6a7739472eb63d869a0ec,NOVEMBER,10,4,22,9/24/18 14:04,106426
acad415d1fb6a7739472eb63d869a0ec,DECEMBER,11,5,3,9/24/18 14:04,106427
b8deead95cb10c933037b8e21f8bba55,JANUARY,0,7,14,9/24/18 14:04,106428
b8deead95cb10c933037b8e21f8bba55,MARCH,2,5,18,9/24/18 14:04,106429
b8deead95cb10c933037b8e21f8bba55,JUNE,5,8,14,9/24/18 14:04,106430
b8deead95cb10c933037b8e21f8bba55,APRIL,3,10,18,9/24/18 14:04,106431
b8deead95cb10c933037b8e21f8bba55,MAY,4,3,25,9/24/18 14:04,106432
b8deead95cb10c933037b8e21f8bba55,FEBRUARY,1,4,2,9/24/18 14:04,106433
b8deead95cb10c933037b8e21f8bba55,AUGUST,7,12,7,9/24/18 14:04,106435
b8deead95cb10c933037b8e21f8bba55,JULY,6,2,12,9/24/18 14:04,106434
b8deead95cb10c933037b8e21f8bba55,OCTOBER,9,9,20,9/24/18 14:04,106436
b8deead95cb10c933037b8e21f8bba55,SEPTEMBER,8,6,16,9/24/18 14:04,106437
b8deead95cb10c933037b8e21f8bba55,DECEMBER,11,1,3,9/24/18 14:04,106438
b8deead95cb10c933037b8e21f8bba55,NOVEMBER,10,11,22,9/24/18 14:04,106439
32e0c66e7f464b49eb670d8187b8397d,MARCH,2,1,18,9/24/18 14:04,106440
32e0c66e7f464b49eb670d8187b8397d,FEBRUARY,1,6,2,9/24/18 14:04,106441
32e0c66e7f464b49eb670d8187b8397d,MAY,4,5,25,9/24/18 14:04,106442
32e0c66e7f464b49eb670d8187b8397d,APRIL,3,4,18,9/24/18 14:04,106443
32e0c66e7f464b49eb670d8187b8397d,JUNE,5,10,14,9/24/18 14:04,106444
32e0c66e7f464b49eb670d8187b8397d,JANUARY,0,12,14,9/24/18 14:04,106445
32e0c66e7f464b49eb670d8187b8397d,JULY,6,7,12,9/24/18 14:04,106446
32e0c66e7f464b49eb670d8187b8397d,NOVEMBER,10,8,22,9/24/18 14:04,106447
32e0c66e7f464b49eb670d8187b8397d,OCTOBER,9,3,20,9/24/18 14:04,106448
32e0c66e7f464b49eb670d8187b8397d,DECEMBER,11,9,3,9/24/18 14:04,106449
32e0c66e7f464b49eb670d8187b8397d,AUGUST,7,2,7,9/24/18 14:04,106450
32e0c66e7f464b49eb670d8187b8397d,SEPTEMBER,8,11,16,9/24/18 14:04,106451
961dfda65bb4399e58410b51aaf75851,MARCH,2,5,18,9/24/18 14:04,106452
961dfda65bb4399e58410b51aaf75851,FEBRUARY,1,1,2,9/24/18 14:04,106453
961dfda65bb4399e58410b51aaf75851,JANUARY,0,4,14,9/24/18 14:04,106454
961dfda65bb4399e58410b51aaf75851,JUNE,5,10,14,9/24/18 14:04,106455
961dfda65bb4399e58410b51aaf75851,APRIL,3,3,18,9/24/18 14:04,106456
961dfda65bb4399e58410b51aaf75851,JULY,6,2,12,9/24/18 14:04,106457
961dfda65bb4399e58410b51aaf75851,MAY,4,7,25,9/24/18 14:04,106458
961dfda65bb4399e58410b51aaf75851,SEPTEMBER,8,6,16,9/24/18 14:04,106459
961dfda65bb4399e58410b51aaf75851,AUGUST,7,8,7,9/24/18 14:04,106460
961dfda65bb4399e58410b51aaf75851,OCTOBER,9,9,20,9/24/18 14:04,106461
961dfda65bb4399e58410b51aaf75851,NOVEMBER,10,12,22,9/24/18 14:04,106462
961dfda65bb4399e58410b51aaf75851,DECEMBER,11,11,3,9/24/18 14:04,106463
33bbd5a3a74691aa134fbc1e732adb4c,JANUARY,0,4,14,9/24/18 14:04,106464
33bbd5a3a74691aa134fbc1e732adb4c,MARCH,2,6,18,9/24/18 14:04,106465
33bbd5a3a74691aa134fbc1e732adb4c,FEBRUARY,1,11,2,9/24/18 14:04,106466
33bbd5a3a74691aa134fbc1e732adb4c,MAY,4,8,25,9/24/18 14:04,106467
33bbd5a3a74691aa134fbc1e732adb4c,APRIL,3,5,18,9/24/18 14:04,106468
33bbd5a3a74691aa134fbc1e732adb4c,JUNE,5,3,14,9/24/18 14:04,106469
33bbd5a3a74691aa134fbc1e732adb4c,JULY,6,7,12,9/24/18 14:04,106470
33bbd5a3a74691aa134fbc1e732adb4c,SEPTEMBER,8,10,16,9/24/18 14:04,106471
33bbd5a3a74691aa134fbc1e732adb4c,DECEMBER,11,9,3,9/24/18 14:04,106472
33bbd5a3a74691aa134fbc1e732adb4c,NOVEMBER,10,2,22,9/24/18 14:04,106473
33bbd5a3a74691aa134fbc1e732adb4c,OCTOBER,9,1,20,9/24/18 14:04,106474
33bbd5a3a74691aa134fbc1e732adb4c,AUGUST,7,12,7,9/24/18 14:04,106475
7b298af3f05696ff056f37bf4548eba2,APRIL,3,8,18,9/24/18 14:05,106476
7b298af3f05696ff056f37bf4548eba2,FEBRUARY,1,7,2,9/24/18 14:05,106477
7b298af3f05696ff056f37bf4548eba2,JANUARY,0,9,14,9/24/18 14:05,106478
7b298af3f05696ff056f37bf4548eba2,MARCH,2,6,18,9/24/18 14:05,106479
7b298af3f05696ff056f37bf4548eba2,MAY,4,10,25,9/24/18 14:05,106480
7b298af3f05696ff056f37bf4548eba2,JUNE,5,1,14,9/24/18 14:05,106481
7b298af3f05696ff056f37bf4548eba2,AUGUST,7,2,7,9/24/18 14:05,106482
7b298af3f05696ff056f37bf4548eba2,OCTOBER,9,5,20,9/24/18 14:05,106483
7b298af3f05696ff056f37bf4548eba2,JULY,6,11,12,9/24/18 14:05,106484
7b298af3f05696ff056f37bf4548eba2,SEPTEMBER,8,3,16,9/24/18 14:05,106485
7b298af3f05696ff056f37bf4548eba2,NOVEMBER,10,12,22,9/24/18 14:05,106486
7b298af3f05696ff056f37bf4548eba2,DECEMBER,11,4,3,9/24/18 14:05,106487
35cc0f202132a2cb37403c5ede4bae61,MAY,4,6,25,9/24/18 14:05,106488
35cc0f202132a2cb37403c5ede4bae61,FEBRUARY,1,3,2,9/24/18 14:05,106489
35cc0f202132a2cb37403c5ede4bae61,MARCH,2,11,18,9/24/18 14:05,106490
35cc0f202132a2cb37403c5ede4bae61,JANUARY,0,1,14,9/24/18 14:05,106491
35cc0f202132a2cb37403c5ede4bae61,JUNE,5,8,14,9/24/18 14:05,106492
35cc0f202132a2cb37403c5ede4bae61,APRIL,3,7,18,9/24/18 14:05,106493
35cc0f202132a2cb37403c5ede4bae61,SEPTEMBER,8,2,16,9/24/18 14:05,106494
35cc0f202132a2cb37403c5ede4bae61,AUGUST,7,12,7,9/24/18 14:05,106495
35cc0f202132a2cb37403c5ede4bae61,JULY,6,4,12,9/24/18 14:05,106496
35cc0f202132a2cb37403c5ede4bae61,OCTOBER,9,9,20,9/24/18 14:05,106497
35cc0f202132a2cb37403c5ede4bae61,NOVEMBER,10,5,22,9/24/18 14:05,106498
35cc0f202132a2cb37403c5ede4bae61,DECEMBER,11,10,3,9/24/18 14:05,106499
d7eda57c200646cb2c27b067f8ee9a88,FEBRUARY,1,9,2,9/24/18 14:05,106500
d7eda57c200646cb2c27b067f8ee9a88,JUNE,5,10,14,9/24/18 14:05,106501
d7eda57c200646cb2c27b067f8ee9a88,MARCH,2,6,18,9/24/18 14:05,106502
d7eda57c200646cb2c27b067f8ee9a88,JANUARY,0,5,14,9/24/18 14:05,106503
d7eda57c200646cb2c27b067f8ee9a88,APRIL,3,8,18,9/24/18 14:05,106504
d7eda57c200646cb2c27b067f8ee9a88,MAY,4,3,25,9/24/18 14:05,106505
f1bb82e05ec9677c1887d7f369b23fd3,APRIL,3,5,18,9/24/18 14:05,106507
f1bb82e05ec9677c1887d7f369b23fd3,MARCH,2,2,18,9/24/18 14:05,106506
f1bb82e05ec9677c1887d7f369b23fd3,JANUARY,0,6,14,9/24/18 14:05,106508
f1bb82e05ec9677c1887d7f369b23fd3,FEBRUARY,1,11,2,9/24/18 14:05,106509
f1bb82e05ec9677c1887d7f369b23fd3,MAY,4,12,25,9/24/18 14:05,106510
f1bb82e05ec9677c1887d7f369b23fd3,JUNE,5,7,14,9/24/18 14:05,106511
d7eda57c200646cb2c27b067f8ee9a88,JULY,6,1,12,9/24/18 14:05,106512
d7eda57c200646cb2c27b067f8ee9a88,SEPTEMBER,8,7,16,9/24/18 14:05,106513
d7eda57c200646cb2c27b067f8ee9a88,AUGUST,7,2,7,9/24/18 14:05,106514
d7eda57c200646cb2c27b067f8ee9a88,OCTOBER,9,12,20,9/24/18 14:05,106515
f1bb82e05ec9677c1887d7f369b23fd3,AUGUST,7,1,7,9/24/18 14:05,106516
f1bb82e05ec9677c1887d7f369b23fd3,JULY,6,9,12,9/24/18 14:05,106517
d7eda57c200646cb2c27b067f8ee9a88,DECEMBER,11,4,3,9/24/18 14:05,106518
f1bb82e05ec9677c1887d7f369b23fd3,NOVEMBER,10,10,22,9/24/18 14:05,106519
d7eda57c200646cb2c27b067f8ee9a88,NOVEMBER,10,11,22,9/24/18 14:05,106520
f1bb82e05ec9677c1887d7f369b23fd3,SEPTEMBER,8,3,16,9/24/18 14:05,106521
f1bb82e05ec9677c1887d7f369b23fd3,OCTOBER,9,4,20,9/24/18 14:05,106522
f1bb82e05ec9677c1887d7f369b23fd3,DECEMBER,11,8,3,9/24/18 14:05,106523
048a74cfc1719d7283d720f7282c8648,MARCH,2,8,18,9/24/18 14:05,106524
048a74cfc1719d7283d720f7282c8648,APRIL,3,10,18,9/24/18 14:05,106525
048a74cfc1719d7283d720f7282c8648,JANUARY,0,9,14,9/24/18 14:05,106526
048a74cfc1719d7283d720f7282c8648,JUNE,5,5,14,9/24/18 14:05,106527
048a74cfc1719d7283d720f7282c8648,MAY,4,6,25,9/24/18 14:05,106528
048a74cfc1719d7283d720f7282c8648,FEBRUARY,1,12,2,9/24/18 14:05,106529
048a74cfc1719d7283d720f7282c8648,JULY,6,3,12,9/24/18 14:05,106530
048a74cfc1719d7283d720f7282c8648,OCTOBER,9,11,20,9/24/18 14:05,106531
048a74cfc1719d7283d720f7282c8648,DECEMBER,11,1,3,9/24/18 14:05,106532
048a74cfc1719d7283d720f7282c8648,AUGUST,7,2,7,9/24/18 14:05,106533
048a74cfc1719d7283d720f7282c8648,NOVEMBER,10,4,22,9/24/18 14:05,106534
048a74cfc1719d7283d720f7282c8648,SEPTEMBER,8,7,16,9/24/18 14:05,106535
d5a782ce044da791a556cfefaee18652,JULY,6,12,12,9/24/18 14:06,106536
d5a782ce044da791a556cfefaee18652,APRIL,3,5,18,9/24/18 14:06,106537
d5a782ce044da791a556cfefaee18652,FEBRUARY,1,2,2,9/24/18 14:06,106538
d5a782ce044da791a556cfefaee18652,JANUARY,0,10,14,9/24/18 14:06,106539
d5a782ce044da791a556cfefaee18652,JUNE,5,6,14,9/24/18 14:06,106540
d5a782ce044da791a556cfefaee18652,MAY,4,8,25,9/24/18 14:06,106541
d5a782ce044da791a556cfefaee18652,MARCH,2,7,18,9/24/18 14:06,106542
d5a782ce044da791a556cfefaee18652,AUGUST,7,11,7,9/24/18 14:06,106543
d5a782ce044da791a556cfefaee18652,SEPTEMBER,8,1,16,9/24/18 14:06,106544
d5a782ce044da791a556cfefaee18652,DECEMBER,11,9,3,9/24/18 14:06,106545
d5a782ce044da791a556cfefaee18652,OCTOBER,9,3,20,9/24/18 14:06,106546
d5a782ce044da791a556cfefaee18652,NOVEMBER,10,4,22,9/24/18 14:06,106547
b9b42acdf646de45caf1e11a17ceac08,JUNE,5,4,14,9/24/18 14:06,106548
b9b42acdf646de45caf1e11a17ceac08,JANUARY,0,2,14,9/24/18 14:06,106549
b9b42acdf646de45caf1e11a17ceac08,FEBRUARY,1,1,2,9/24/18 14:06,106550
b9b42acdf646de45caf1e11a17ceac08,APRIL,3,9,18,9/24/18 14:06,106551
b9b42acdf646de45caf1e11a17ceac08,MAY,4,8,25,9/24/18 14:06,106552
b9b42acdf646de45caf1e11a17ceac08,MARCH,2,10,18,9/24/18 14:06,106553
b9b42acdf646de45caf1e11a17ceac08,AUGUST,7,3,7,9/24/18 14:06,106554
b9b42acdf646de45caf1e11a17ceac08,JULY,6,7,12,9/24/18 14:06,106555
b9b42acdf646de45caf1e11a17ceac08,SEPTEMBER,8,6,16,9/24/18 14:06,106556
b9b42acdf646de45caf1e11a17ceac08,OCTOBER,9,11,20,9/24/18 14:06,106557
b9b42acdf646de45caf1e11a17ceac08,DECEMBER,11,12,3,9/24/18 14:06,106558
b9b42acdf646de45caf1e11a17ceac08,NOVEMBER,10,5,22,9/24/18 14:06,106559
192d2468b8268624c0e74e69a6f08d13,APRIL,3,11,18,9/24/18 14:06,106560
192d2468b8268624c0e74e69a6f08d13,MAY,4,9,25,9/24/18 14:06,106561
192d2468b8268624c0e74e69a6f08d13,JUNE,5,8,14,9/24/18 14:06,106562
192d2468b8268624c0e74e69a6f08d13,AUGUST,7,10,7,9/24/18 14:06,106563
192d2468b8268624c0e74e69a6f08d13,FEBRUARY,1,2,2,9/24/18 14:06,106564
192d2468b8268624c0e74e69a6f08d13,SEPTEMBER,8,6,16,9/24/18 14:06,106565
192d2468b8268624c0e74e69a6f08d13,JANUARY,0,7,14,9/24/18 14:06,106566
192d2468b8268624c0e74e69a6f08d13,JULY,6,4,12,9/24/18 14:06,106567
192d2468b8268624c0e74e69a6f08d13,MARCH,2,3,18,9/24/18 14:06,106568
192d2468b8268624c0e74e69a6f08d13,DECEMBER,11,12,3,9/24/18 14:06,106569
192d2468b8268624c0e74e69a6f08d13,NOVEMBER,10,1,22,9/24/18 14:06,106570
192d2468b8268624c0e74e69a6f08d13,OCTOBER,9,5,20,9/24/18 14:06,106571
79628cb4f82772af2b84e750170108f4,JANUARY,0,9,14,9/24/18 14:06,106572
79628cb4f82772af2b84e750170108f4,MARCH,2,8,18,9/24/18 14:06,106573
79628cb4f82772af2b84e750170108f4,FEBRUARY,1,4,2,9/24/18 14:06,106574
79628cb4f82772af2b84e750170108f4,MAY,4,3,25,9/24/18 14:06,106575
79628cb4f82772af2b84e750170108f4,APRIL,3,12,18,9/24/18 14:06,106576
79628cb4f82772af2b84e750170108f4,JUNE,5,6,14,9/24/18 14:06,106577
79628cb4f82772af2b84e750170108f4,JULY,6,11,12,9/24/18 14:06,106578
79628cb4f82772af2b84e750170108f4,SEPTEMBER,8,1,16,9/24/18 14:06,106579
79628cb4f82772af2b84e750170108f4,OCTOBER,9,7,20,9/24/18 14:06,106580
79628cb4f82772af2b84e750170108f4,AUGUST,7,2,7,9/24/18 14:06,106581
79628cb4f82772af2b84e750170108f4,NOVEMBER,10,10,22,9/24/18 14:06,106582
79628cb4f82772af2b84e750170108f4,DECEMBER,11,5,3,9/24/18 14:06,106583
e2b6d23eb392b116ffcf55dd556efd86,JANUARY,0,8,14,9/24/18 14:06,106584
e2b6d23eb392b116ffcf55dd556efd86,JUNE,5,6,14,9/24/18 14:06,106585
e2b6d23eb392b116ffcf55dd556efd86,APRIL,3,4,18,9/24/18 14:06,106586
e2b6d23eb392b116ffcf55dd556efd86,FEBRUARY,1,1,2,9/24/18 14:06,106587
e2b6d23eb392b116ffcf55dd556efd86,MARCH,2,5,18,9/24/18 14:06,106588
e2b6d23eb392b116ffcf55dd556efd86,MAY,4,2,25,9/24/18 14:06,106589
e2b6d23eb392b116ffcf55dd556efd86,JULY,6,9,12,9/24/18 14:06,106590
e2b6d23eb392b116ffcf55dd556efd86,DECEMBER,11,11,3,9/24/18 14:06,106591
e2b6d23eb392b116ffcf55dd556efd86,NOVEMBER,10,10,22,9/24/18 14:06,106592
e2b6d23eb392b116ffcf55dd556efd86,AUGUST,7,3,7,9/24/18 14:06,106593
e2b6d23eb392b116ffcf55dd556efd86,OCTOBER,9,12,20,9/24/18 14:06,106594
e2b6d23eb392b116ffcf55dd556efd86,SEPTEMBER,8,7,16,9/24/18 14:06,106595
580ac57a682dcb673413cdb95f7131e1,FEBRUARY,1,2,2,9/24/18 14:06,106596
580ac57a682dcb673413cdb95f7131e1,JANUARY,0,10,14,9/24/18 14:06,106597
580ac57a682dcb673413cdb95f7131e1,MAY,4,12,25,9/24/18 14:06,106598
580ac57a682dcb673413cdb95f7131e1,MARCH,2,6,18,9/24/18 14:06,106599
580ac57a682dcb673413cdb95f7131e1,APRIL,3,11,18,9/24/18 14:06,106600
580ac57a682dcb673413cdb95f7131e1,JUNE,5,5,14,9/24/18 14:06,106601
580ac57a682dcb673413cdb95f7131e1,SEPTEMBER,8,8,16,9/24/18 14:06,106603
580ac57a682dcb673413cdb95f7131e1,JULY,6,7,12,9/24/18 14:06,106602
580ac57a682dcb673413cdb95f7131e1,OCTOBER,9,3,20,9/24/18 14:06,106604
580ac57a682dcb673413cdb95f7131e1,NOVEMBER,10,4,22,9/24/18 14:06,106606
580ac57a682dcb673413cdb95f7131e1,AUGUST,7,9,7,9/24/18 14:06,106605
580ac57a682dcb673413cdb95f7131e1,DECEMBER,11,1,3,9/24/18 14:06,106607
1378dcb5c439c9f0cbfd7fa631b2fb0f,JANUARY,0,5,14,9/24/18 14:06,106608
1378dcb5c439c9f0cbfd7fa631b2fb0f,FEBRUARY,1,4,2,9/24/18 14:06,106609
1378dcb5c439c9f0cbfd7fa631b2fb0f,MAY,4,3,25,9/24/18 14:06,106610
1378dcb5c439c9f0cbfd7fa631b2fb0f,MARCH,2,11,18,9/24/18 14:06,106611
1378dcb5c439c9f0cbfd7fa631b2fb0f,AUGUST,7,7,7,9/24/18 14:06,106612
1378dcb5c439c9f0cbfd7fa631b2fb0f,JULY,6,2,12,9/24/18 14:06,106613
1378dcb5c439c9f0cbfd7fa631b2fb0f,JUNE,5,9,14,9/24/18 14:06,106614
1378dcb5c439c9f0cbfd7fa631b2fb0f,APRIL,3,6,18,9/24/18 14:06,106615
1378dcb5c439c9f0cbfd7fa631b2fb0f,SEPTEMBER,8,12,16,9/24/18 14:06,106616
1378dcb5c439c9f0cbfd7fa631b2fb0f,NOVEMBER,10,1,22,9/24/18 14:06,106617
1378dcb5c439c9f0cbfd7fa631b2fb0f,OCTOBER,9,10,20,9/24/18 14:06,106618
1378dcb5c439c9f0cbfd7fa631b2fb0f,DECEMBER,11,8,3,9/24/18 14:06,106619
19be563f3143d1a68e42e3632d783bcd,JANUARY,0,3,14,9/24/18 14:07,106620
19be563f3143d1a68e42e3632d783bcd,FEBRUARY,1,12,2,9/24/18 14:07,106621
19be563f3143d1a68e42e3632d783bcd,JUNE,5,5,14,9/24/18 14:07,106622
19be563f3143d1a68e42e3632d783bcd,MAY,4,7,25,9/24/18 14:07,106623
19be563f3143d1a68e42e3632d783bcd,MARCH,2,6,18,9/24/18 14:07,106624
19be563f3143d1a68e42e3632d783bcd,APRIL,3,11,18,9/24/18 14:07,106625
19be563f3143d1a68e42e3632d783bcd,DECEMBER,11,2,3,9/24/18 14:07,106627
19be563f3143d1a68e42e3632d783bcd,AUGUST,7,4,7,9/24/18 14:07,106626
19be563f3143d1a68e42e3632d783bcd,OCTOBER,9,8,20,9/24/18 14:07,106628
19be563f3143d1a68e42e3632d783bcd,SEPTEMBER,8,9,16,9/24/18 14:07,106629
19be563f3143d1a68e42e3632d783bcd,JULY,6,1,12,9/24/18 14:07,106630
19be563f3143d1a68e42e3632d783bcd,NOVEMBER,10,10,22,9/24/18 14:07,106631
bb74f44a7200eaf2012a8c07a70782a3,JANUARY,0,3,14,9/24/18 14:07,106632
bb74f44a7200eaf2012a8c07a70782a3,FEBRUARY,1,6,2,9/24/18 14:07,106633
bb74f44a7200eaf2012a8c07a70782a3,MARCH,2,4,18,9/24/18 14:07,106634
bb74f44a7200eaf2012a8c07a70782a3,APRIL,3,10,18,9/24/18 14:07,106635
bb74f44a7200eaf2012a8c07a70782a3,MAY,4,9,25,9/24/18 14:07,106636
bb74f44a7200eaf2012a8c07a70782a3,JUNE,5,11,14,9/24/18 14:07,106637
bb74f44a7200eaf2012a8c07a70782a3,JULY,6,8,12,9/24/18 14:07,106638
bb74f44a7200eaf2012a8c07a70782a3,AUGUST,7,7,7,9/24/18 14:07,106639
