subject,word,word_ind,s1_value,s2_value,stamp,id
3e5d6cadfcf88b8bf2c7e8c1878dfd9a,JANUARY,0,5,14,9/24/18 14:01,106344
3e5d6cadfcf88b8bf2c7e8c1878dfd9a,FEBRUARY,1,12,2,9/24/18 14:01,106345
3e5d6cadfcf88b8bf2c7e8c1878dfd9a,MARCH,2,10,18,9/24/18 14:01,106346
3e5d6cadfcf88b8bf2c7e8c1878dfd9a,APRIL,3,7,18,9/24/18 14:01,106347
3e5d6cadfcf88b8bf2c7e8c1878dfd9a,MAY,4,11,25,9/24/18 14:01,106348
3e5d6cadfcf88b8bf2c7e8c1878dfd9a,JUNE,5,6,14,9/24/18 14:01,106349
3e5d6cadfcf88b8bf2c7e8c1878dfd9a,JULY,6,9,12,9/24/18 14:01,106350
3e5d6cadfcf88b8bf2c7e8c1878dfd9a,AUGUST,7,8,7,9/24/18 14:01,106351
3e5d6cadfcf88b8bf2c7e8c1878dfd9a,SEPTEMBER,8,3,16,9/24/18 14:01,106352
3e5d6cadfcf88b8bf2c7e8c1878dfd9a,OCTOBER,9,1,20,9/24/18 14:01,106353
3e5d6cadfcf88b8bf2c7e8c1878dfd9a,NOVEMBER,10,4,22,9/24/18 14:01,106354
3e5d6cadfcf88b8bf2c7e8c1878dfd9a,DECEMBER,11,2,3,9/24/18 14:01,106355
a1fede247b470692a4a6a7c615fe8d30,JANUARY,0,7,14,9/24/18 14:02,106356
a1fede247b470692a4a6a7c615fe8d30,APRIL,3,3,18,9/24/18 14:02,106357
a1fede247b470692a4a6a7c615fe8d30,JUNE,5,11,14,9/24/18 14:02,106358
a1fede247b470692a4a6a7c615fe8d30,MARCH,2,6,18,9/24/18 14:02,106359
a1fede247b470692a4a6a7c615fe8d30,MAY,4,9,25,9/24/18 14:02,106360
a1fede247b470692a4a6a7c615fe8d30,FEBRUARY,1,2,2,9/24/18 14:02,106361
a1fede247b470692a4a6a7c615fe8d30,SEPTEMBER,8,12,16,9/24/18 14:02,106362
a1fede247b470692a4a6a7c615fe8d30,JULY,6,8,12,9/24/18 14:02,106363
a1fede247b470692a4a6a7c615fe8d30,NOVEMBER,10,4,22,9/24/18 14:02,106364
a1fede247b470692a4a6a7c615fe8d30,DECEMBER,11,10,3,9/24/18 14:02,106365
a1fede247b470692a4a6a7c615fe8d30,AUGUST,7,5,7,9/24/18 14:02,106366
a1fede247b470692a4a6a7c615fe8d30,OCTOBER,9,1,20,9/24/18 14:02,106367
c58c93de1093afef84130d799c2f5109,APRIL,3,10,18,9/24/18 14:03,106368
c58c93de1093afef84130d799c2f5109,MAY,4,2,25,9/24/18 14:03,106369
c58c93de1093afef84130d799c2f5109,FEBRUARY,1,7,2,9/24/18 14:03,106370
c58c93de1093afef84130d799c2f5109,MARCH,2,9,18,9/24/18 14:03,106371
c58c93de1093afef84130d799c2f5109,JANUARY,0,4,14,9/24/18 14:03,106372
c58c93de1093afef84130d799c2f5109,JUNE,5,6,14,9/24/18 14:03,106373
c58c93de1093afef84130d799c2f5109,JULY,6,1,12,9/24/18 14:03,106374
c58c93de1093afef84130d799c2f5109,NOVEMBER,10,3,22,9/24/18 14:03,106375
c58c93de1093afef84130d799c2f5109,SEPTEMBER,8,11,16,9/24/18 14:03,106376
c58c93de1093afef84130d799c2f5109,DECEMBER,11,12,3,9/24/18 14:03,106377
c58c93de1093afef84130d799c2f5109,OCTOBER,9,5,20,9/24/18 14:03,106378
c58c93de1093afef84130d799c2f5109,AUGUST,7,8,7,9/24/18 14:03,106379
c34443cbfde4ec7b05e408c8c47662cc,JANUARY,0,11,14,9/24/18 14:03,106380
c34443cbfde4ec7b05e408c8c47662cc,APRIL,3,7,18,9/24/18 14:03,106381
c34443cbfde4ec7b05e408c8c47662cc,JUNE,5,2,14,9/24/18 14:03,106382
c34443cbfde4ec7b05e408c8c47662cc,MARCH,2,4,18,9/24/18 14:03,106383
c34443cbfde4ec7b05e408c8c47662cc,MAY,4,5,25,9/24/18 14:03,106384
c34443cbfde4ec7b05e408c8c47662cc,FEBRUARY,1,9,2,9/24/18 14:03,106385
c34443cbfde4ec7b05e408c8c47662cc,JULY,6,3,12,9/24/18 14:03,106386
c34443cbfde4ec7b05e408c8c47662cc,AUGUST,7,12,7,9/24/18 14:03,106387
c34443cbfde4ec7b05e408c8c47662cc,SEPTEMBER,8,10,16,9/24/18 14:03,106388
c34443cbfde4ec7b05e408c8c47662cc,NOVEMBER,10,8,22,9/24/18 14:03,106389
c34443cbfde4ec7b05e408c8c47662cc,OCTOBER,9,1,20,9/24/18 14:03,106390
c34443cbfde4ec7b05e408c8c47662cc,DECEMBER,11,6,3,9/24/18 14:03,106391
a3ab455cea0ee20591a6c44ba7d36101,FEBRUARY,1,4,2,9/24/18 14:03,106392
a3ab455cea0ee20591a6c44ba7d36101,JANUARY,0,1,14,9/24/18 14:03,106393
a3ab455cea0ee20591a6c44ba7d36101,MAY,4,7,25,9/24/18 14:03,106394
a3ab455cea0ee20591a6c44ba7d36101,MARCH,2,9,18,9/24/18 14:03,106395
a3ab455cea0ee20591a6c44ba7d36101,JUNE,5,10,14,9/24/18 14:03,106396
a3ab455cea0ee20591a6c44ba7d36101,APRIL,3,8,18,9/24/18 14:03,106397
a3ab455cea0ee20591a6c44ba7d36101,AUGUST,7,12,7,9/24/18 14:04,106398
a3ab455cea0ee20591a6c44ba7d36101,NOVEMBER,10,2,22,9/24/18 14:04,106399
a3ab455cea0ee20591a6c44ba7d36101,JULY,6,11,12,9/24/18 14:04,106400
