subject,word,word_ind,s1_value,s2_value,stamp,id
aa1d5b03db0621cc7b9e52f923bd7d41,FEBRUARY,1,2,2,8/29/18 14:31,93738
aa1d5b03db0621cc7b9e52f923bd7d41,JANUARY,0,1,14,8/29/18 14:31,93739
aa1d5b03db0621cc7b9e52f923bd7d41,MAY,4,10,25,8/29/18 14:31,93740
aa1d5b03db0621cc7b9e52f923bd7d41,APRIL,3,5,18,8/29/18 14:31,93741
aa1d5b03db0621cc7b9e52f923bd7d41,JUNE,5,3,14,8/29/18 14:31,93742
aa1d5b03db0621cc7b9e52f923bd7d41,MARCH,2,8,18,8/29/18 14:31,93743
aa1d5b03db0621cc7b9e52f923bd7d41,JULY,6,9,12,8/29/18 14:31,93744
aa1d5b03db0621cc7b9e52f923bd7d41,NOVEMBER,10,11,22,8/29/18 14:31,93745
aa1d5b03db0621cc7b9e52f923bd7d41,OCTOBER,9,12,20,8/29/18 14:31,93746
aa1d5b03db0621cc7b9e52f923bd7d41,AUGUST,7,6,7,8/29/18 14:31,93747
aa1d5b03db0621cc7b9e52f923bd7d41,SEPTEMBER,8,7,16,8/29/18 14:31,93748
aa1d5b03db0621cc7b9e52f923bd7d41,DECEMBER,11,4,3,8/29/18 14:31,93749
099decdbb165bfdac4e8f8c36e724981,JULY,6,12,12,8/29/18 14:31,93750
099decdbb165bfdac4e8f8c36e724981,APRIL,3,10,18,8/29/18 14:31,93751
099decdbb165bfdac4e8f8c36e724981,MAY,4,3,25,8/29/18 14:31,93752
099decdbb165bfdac4e8f8c36e724981,FEBRUARY,1,9,2,8/29/18 14:31,93753
099decdbb165bfdac4e8f8c36e724981,JANUARY,0,7,14,8/29/18 14:31,93754
099decdbb165bfdac4e8f8c36e724981,JUNE,5,1,14,8/29/18 14:31,93755
099decdbb165bfdac4e8f8c36e724981,AUGUST,7,2,7,8/29/18 14:31,93756
099decdbb165bfdac4e8f8c36e724981,MARCH,2,11,18,8/29/18 14:31,93757
099decdbb165bfdac4e8f8c36e724981,SEPTEMBER,8,5,16,8/29/18 14:31,93758
099decdbb165bfdac4e8f8c36e724981,NOVEMBER,10,4,22,8/29/18 14:31,93759
099decdbb165bfdac4e8f8c36e724981,DECEMBER,11,8,3,8/29/18 14:31,93760
099decdbb165bfdac4e8f8c36e724981,OCTOBER,9,6,20,8/29/18 14:31,93761
4e25758d30d2634a071a5f58f6c268e6,APRIL,3,5,18,8/29/18 14:36,93762
4e25758d30d2634a071a5f58f6c268e6,FEBRUARY,1,1,2,8/29/18 14:36,93763
